video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,anticipation_hp,anticipation_scr_events,video_hp,video_scr,hp_video_ratings,participant_num,hp_base_anticipation,base_ECG,base_scr,trial_num
social_high_3.mov,2,2,1,1677.221,1680.222,0.236,1.369,0.013,1.135,1686.465,1706.838,0.49,0.482,0.537,0.406,2.537,1.702,1.002,2.219,0.627,0,0.662,0,0.687,119,0.63,0.654,0.007,31
heights_low_4.m4v,1,1,2,1723.79,1726.79,0.621,1.352,0.221,1.001,1737.889,1758.914,0.705,0.722,0.745,0.36,1.335,0.784,1.001,1.718,0.625,0,0.657,0,0.68,119,0.651,0.654,0.007,32
heights_high_4.m4v,1,2,1,1773.244,1776.245,0.758,0.935,0.316,2.653,1788.578,1808.853,0.705,0.72,0.738,0.262,1.552,1.468,1.252,1.552,0.665,0,0.658,0.052,0.685,119,0.64,0.654,0.007,33
heights_high_2.mov,1,2,1,1824.167,1827.168,0.777,1.035,0.316,1.836,1838.767,1859.641,1,1,1,0,1.202,1.001,0.818,1.535,0.628,0,0.685,0,0.72,119,0.668,0.654,0.007,34
spider_high_2.m4v,3,2,2,1873.689,1876.689,0.397,1.352,0.065,1.419,1883.199,1903.241,0.421,0.115,0.51,0.309,2.954,0.851,2.87,1.735,0.621,0,0.662,0.053,0.681,119,0.677,0.654,0.007,35
spider_high_5.m4v,3,2,1,1921.141,1924.141,0.524,1.969,0.081,1.168,1931.019,1951.511,0.678,0.525,0.588,0.039,1.769,1.302,1.285,1.101,0.658,0,0.686,0,0.648,119,0.697,0.654,0.007,36
spider_low_1.m4v,3,1,2,10.078,13.104,0.028,1.936,0,1.002,21.808,42.05,0,0,0,1,1.318,0.951,5.857,1.819,0.803,0,1.025,0,0.985,120,0.888,0.795,0.145,1
spider_high_6.mov,3,2,1,61.551,64.552,0,1.152,0,0.834,71.279,90.918,0.029,0.025,0.665,0.796,1.285,1.135,2.119,2.019,0.764,0,0.951,0.107,1.001,120,0.862,0.795,0.145,2
heights_high_2.mov,1,2,2,106.985,109.986,0,0.818,0,0.668,120.216,141.09,0,0.071,0,0.82,1.368,0.868,1.619,1.819,0.846,0,1.016,0.05,1.009,120,0.803,0.795,0.145,3
heights_high_3.m4v,1,2,1,156.256,159.256,0,1.152,0,0.668,169.821,190.431,0.113,0.082,0.948,0.884,2.837,1.518,1.385,1.886,0.861,0,1.015,0.102,1.003,120,1.008,0.795,0.145,4
social_low_1.m4v,2,1,2,207.563,210.565,0,1.201,0,0.567,216.089,236.916,0,0,0,0.883,2.353,0.451,1.285,1.402,0.754,0,0.866,0.05,0.949,120,0.79,0.795,0.145,5
social_high_4_replacement.mov,2,2,1,251.912,254.912,0,0.935,0,0.518,262.107,282.415,0,0,0.039,0.888,2.687,0.818,0.985,1.101,0.789,0,0.921,0.052,0.921,120,0.871,0.795,0.145,6
social_low_6.m4v,2,1,1,297.496,300.496,0,0.851,0,0.451,306.539,325.964,0,0,0.772,1,1.819,0.501,1.685,0.918,0.942,0,0.94,0,0.917,120,0.818,0.795,0.145,7
heights_low_2.m4v,1,1,2,340.376,343.376,0,2.169,0,0.284,354.576,374.6,0,0,0,1,2.403,0.351,0.751,1.802,0.87,0,1.016,0,0.903,120,0.888,0.795,0.145,8
heights_low_5.m4v,1,1,1,389.397,392.398,0,0.801,0,0.501,402.445,422.453,0,0,0.665,1,2.453,0.451,3.387,0.968,0.901,0,0.885,0,0.94,120,0.884,0.795,0.145,9
social_high_1.mov,2,2,2,439.202,442.203,0,0.684,0.102,0.301,446.928,467,0,0.098,0.701,0.763,2.236,3.037,2.119,1.919,0.82,0,0.889,0.052,0.969,120,0.85,0.795,0.145,10
spider_low_4.m4v,3,1,2,485.804,488.807,0,0.968,0.029,3.504,497.016,517.525,0,0,0.941,0.889,2.169,0.651,1.151,1.285,0.85,0,0.876,0.154,0.855,120,0.806,0.795,0.145,11
spider_high_2.m4v,3,2,1,532.272,535.272,0,0.951,0,0.834,540.798,560.84,0.026,0.039,0.857,0.88,5.139,3.337,1.152,1.235,0.851,0,0.918,0.158,0.897,120,0.913,0.795,0.145,12
spider_low_5.mov,3,1,2,656.176,659.176,0,0.968,0,0.634,664.518,684.841,0,0,0.875,0.904,1.168,0.617,1.051,1.268,NaN,0,NaN,0.104,0.766,120,0.931,0.795,0.145,13
spider_high_3.mov,3,2,1,698.439,701.439,0.034,2.119,0,0.718,710.018,730.141,0.753,0.674,0.917,0.646,4.839,2.703,1.218,2.102,0.79,0,0.926,0.157,0.906,120,0.828,0.795,0.145,14
spider_low_3.m4v,3,1,1,750.496,753.497,0.068,2.002,0.086,2.62,762.86,783.519,0.227,0.183,0.743,0.741,1.319,1.352,1.435,1.335,0.838,0,0.942,0.203,0.85,120,0.847,0.795,0.145,15
heights_high_5.mov,1,2,2,798.466,801.467,0.027,1.685,0.036,2.286,814.184,834.173,0,0,0.607,0.914,2.086,0.534,2.136,1.802,0.801,0,0.826,0.053,0.838,120,0.82,0.795,0.145,16
heights_low_1.m4v,1,1,1,850.223,853.224,0.024,1.035,0.033,1.185,864.189,885.199,0,0,0,1,2.169,0.834,4.939,1.569,0.745,0,0.879,0.15,0.928,120,0.67,0.795,0.145,17
spider_high_1.mov,3,2,2,904.2,907.2,0.054,2.903,0.044,1.168,915.012,935.018,0,0,0.973,0.818,2.636,0.534,1.469,0.784,0.845,0,0.895,0.158,0.846,120,0.884,0.795,0.145,18
social_high_3.mov,2,2,2,949.95,952.951,0,0.985,0,0.384,958.059,978.449,0.02,0.066,0.039,0.582,4.205,1.101,1.735,4.071,0.862,0,0.863,0,0.908,120,0.77,0.795,0.145,19
social_low_5.m4v,2,1,1,999.055,1002.055,0.008,1.469,0.024,0.751,1010.017,1029.992,0,0,0,0.96,1.402,0.317,2.136,1.402,0.769,0,0.868,0,0.99,120,0.822,0.795,0.145,20
social_high_6.mov,2,2,1,1044.738,1047.739,0.004,3.07,0,0.584,1056.118,1076.658,0,0,0.158,0.165,2.336,0.734,4.455,2.753,0.948,0,1.016,0.051,0.894,120,0.908,0.795,0.145,21
heights_low_4.m4v,1,1,2,1096.429,1099.429,0,0.768,0,0.317,1109.26,1130.286,0,0,0,0.862,2.103,0.467,0.968,2.002,0.782,0,0.884,0.2,0.862,120,0.682,0.795,0.145,22
heights_high_1.m4v,1,2,1,1145.316,1148.317,0,1.419,0,0.35,1158.831,1179.24,0.048,0.195,0.944,1,4.655,2.119,1.135,1.335,0.848,0,NaN,0.052,0.943,120,0.73,0.795,0.145,23
social_low_3.m4v,2,1,2,1197.975,1200.975,0.063,1.969,0.072,0.684,1207.368,1227.51,0,0,0.054,0.607,2.253,0.551,2.887,2.753,0.784,0,0.893,0.157,0.978,120,0.841,0.795,0.145,24
heights_low_6.m4v,1,1,2,1317.724,1320.724,0,1.018,0.014,1.001,1331.489,1349.495,0,0,0.054,0.707,1.602,0.518,1.418,1.519,0.856,0,0.788,0.059,0.923,120,0.906,0.795,0.145,25
heights_high_4.m4v,1,2,1,1364.041,1367.042,0,2.253,0,0.784,1378.824,1399.1,0.069,0.051,0.719,0.813,2.67,1.602,1.752,3.387,0.699,0,0.92,0.052,NaN,120,0.807,0.795,0.145,26
spider_low_6.m4v,3,1,2,1418.001,1421.001,0.047,1.135,0.05,0.935,1426.811,1447.32,0.005,0,0.911,0.848,2.72,0.517,2.119,1.485,0.715,0,0.843,0.103,NaN,120,0.798,0.795,0.145,27
spider_low_2.mov,3,1,1,1463.651,1466.652,0,0.935,0,0.501,1472.828,1493.368,0,0,0.911,0.878,2.036,0.684,1.302,1.469,0.753,0,0.886,0.051,0.857,120,0.738,0.795,0.145,28
spider_high_5.m4v,3,2,1,1508.351,1511.351,0.025,0.885,0.024,0.601,1518.579,1539.071,0.134,0.057,0.792,0.354,3.037,3.137,1.652,1.652,NaN,0,1.065,0.051,0.897,120,0.8,0.795,0.145,29
social_high_5.m4v,2,2,2,1558.039,1561.04,0.054,3.22,0.019,1.268,1571.271,1591.262,0,0.02,0.061,0.389,0.851,0.668,1.502,2.303,0.703,0,0.871,0.105,0.911,120,0.885,0.795,0.145,30
spider_high_4.m4v,3,2,2,1606.076,1609.076,0.019,3.304,0.014,0.985,1617.105,1637.58,0.001,0.11,0.776,0.298,2.503,0.801,2.903,2.937,0.842,0,1.052,0.051,0.876,120,0.653,0.795,0.145,31
social_low_4.m4v,2,1,2,1656.214,1659.215,0.055,0.734,0.05,0.651,1665.341,1686.084,0,0,0,0.811,0.667,0.367,0.534,2.103,0.847,0,0.928,0.051,0.987,120,0.806,0.795,0.145,32
social_high_2.mov,2,2,1,1699.245,1702.246,0,1.969,0,0.484,1708.439,1729.413,0.01,0.031,0.918,0.744,3.921,2.97,1.218,2.603,0.86,0,0.972,0,0.867,120,0.787,0.795,0.145,33
social_low_2.mov,2,1,1,1749.618,1752.618,0.014,1.669,0,0.534,1758.561,1779.921,0.048,0.072,0.027,0.485,2.37,1.385,1.452,2.386,0.766,0,0.882,0,0.811,120,0.781,0.795,0.145,34
heights_high_6.mov,1,2,2,1797.003,1800.004,0,0.45,0,0.384,1809.584,1830.091,0.034,0.122,0.791,0.865,1.569,2.386,1.585,1.869,0.681,0,1.012,0.051,0.82,120,0.638,0.795,0.145,35
heights_low_3.mov,1,1,1,1846.992,1849.992,0.034,2.787,0.021,0.851,1862.359,1880.863,0,0,0,0.931,1.635,0.584,1.352,1.051,0.93,0,0.847,0,0.798,120,0.843,0.795,0.145,36
spider_high_1.mov,3,2,2,10.061,13.088,0.608,4.705,0.035,2.419,24.978,44.967,0.332,0.671,0.308,0.069,4.238,1.252,2.52,1.802,0.837,0,0.774,0.158,0.852,121,0.783,0.772,0.179,1
spider_low_6.m4v,3,1,1,64.321,67.322,0.37,4.655,0.014,2.102,77.836,98.363,0.313,0.313,0.168,0.176,1.886,2.837,2.303,3.037,0.816,0,0.817,0.051,0.845,121,0.845,0.772,0.179,2
spider_low_4.m4v,3,1,1,117.93,120.931,0.237,2.803,0.048,1.669,131.162,151.67,0.047,0.055,0.057,0.338,3.738,1.735,2.487,1.652,0.806,0,0.803,0.154,0.827,121,0.729,0.772,0.179,3
social_low_5.m4v,2,1,2,170.772,173.773,0.259,2.987,0.036,2.002,182.502,202.477,0.024,0.054,0.053,0.641,3.02,1.785,2.62,2.603,0.849,0,0.804,0.211,0.814,121,0.867,0.772,0.179,4
social_high_6.mov,2,2,1,222.012,225.014,0.085,2.286,0.063,1.702,233.759,254.3,0.08,0.292,0.241,0.338,3.638,2.353,2.269,3.104,0.827,0,0.819,0.154,0.801,121,0.895,0.772,0.179,5
social_high_2.mov,2,2,1,275.171,278.171,0.321,3.487,0.034,1.819,289.22,310.196,0.272,0.581,0.597,0.245,2.887,0.918,1.986,3.855,0.808,0,0.854,0.1,0.832,121,0.86,0.772,0.179,6
heights_high_3.m4v,1,2,2,329.347,332.348,0.57,3.454,0.013,1.953,346.5,367.109,0.792,0.949,0.634,0.095,1.569,2.002,2.186,1.869,0.783,0,0.807,0.204,0.812,121,0.826,0.772,0.179,7
social_low_3.m4v,2,1,2,384.225,387.225,0.178,2.77,0.044,4.789,398.524,418.666,0.054,0.034,0.123,0.493,3.704,3.621,5.84,3.421,0.78,0,0.845,0.052,0.861,121,0.871,0.772,0.179,8
heights_low_2.m4v,1,1,2,444.742,447.742,0.627,4.489,0.048,1.468,462.445,482.47,0.06,0.039,0.633,0.949,1.819,1.619,1.852,1.702,0.806,0,0.85,0.053,0.808,121,0.751,0.772,0.179,9
heights_low_6.m4v,1,1,1,498.951,501.952,0.542,2.236,0.035,1.886,514.819,532.825,0.03,0.025,0.597,0.978,3.054,1.852,3.438,1.752,0.788,0,0.812,0.176,0.821,121,0.829,0.772,0.179,10
heights_high_4.m4v,1,2,1,552.411,555.411,0.569,2.353,0.022,1.652,568.161,588.454,0.803,0.918,0.752,0.05,1.418,1.335,1.819,1.936,0.747,0,0.821,0.104,0.864,121,0.848,0.772,0.179,11
spider_high_6.mov,3,2,2,604.451,607.454,0.363,1.652,0.016,1.969,614.813,634.435,0.646,0.71,0.809,0.028,2.803,1.202,4.188,1.902,0.79,0,0.84,0.054,0.865,121,0.776,0.772,0.179,12
social_low_3.m4v,2,1,2,10.078,13.103,0.111,3.638,0.102,2.337,22.877,43.034,0.112,0.113,0.496,0.086,3.604,3.905,5.807,4.155,0.715,0,0.722,0.104,0.723,122,0.732,0.714,0.162,1
social_high_3.mov,2,2,1,70.027,73.028,0.219,5.64,0.214,2.086,84.511,104.883,0.665,0.679,0.894,0.51,3.087,2.019,2.503,4.188,0.717,0,0.741,0.155,0.714,122,0.685,0.714,0.162,2
social_high_6.mov,2,2,1,126.19,129.19,0.339,3.404,0.281,3.087,141.423,161.98,0.238,0.661,0.746,0,8.042,8.56,2.737,2.737,0.715,0,0.699,0.205,0.71,122,0.691,0.714,0.162,3
heights_low_6.m4v,1,1,2,193.564,196.565,0.174,3.804,0.162,2.069,211.183,229.207,0.214,0.287,0.667,0.705,2.37,3.237,2.503,2.82,0.691,0,0.721,0.176,0.689,122,0.769,0.714,0.162,4
heights_high_6.mov,1,2,1,249.643,252.645,0.189,2.553,0.198,1.151,265.094,285.601,1,1,1,0,8.409,1.034,1.501,1.318,0.705,0,0.723,0.205,0.726,122,0.708,0.714,0.162,5
spider_low_4.m4v,3,1,2,307.373,310.373,0.807,5.823,0.719,2.503,323.441,343.952,0.694,0.712,0.502,0.199,2.753,3.654,2.152,2.92,0.736,0,0.737,0.051,0.719,122,0.678,0.714,0.162,6
spider_high_3.mov,3,2,1,364.92,367.92,0.87,2.537,0.882,1.435,375.632,395.772,1,1,1,0,1.252,0.884,2.32,2.67,0.605,0,0.725,0.157,0.743,122,0.677,0.714,0.162,7
heights_high_2.mov,1,2,2,412.389,415.39,0.205,1.485,0.325,8.493,434.113,455.004,0.793,0.947,0.758,0,2.837,2.77,1.802,2.687,0.702,0,0.716,0.151,0.707,122,0.689,0.714,0.162,8
heights_low_2.m4v,1,1,1,474.591,477.592,0.815,4.989,0.122,5.189,496.516,516.541,0,0,0.05,0.895,1.218,1.318,3.537,2.203,0.691,0,0.665,0.105,0.705,122,0.682,0.714,0.162,9
social_low_5.m4v,2,1,2,534.307,537.308,0.461,2.236,0.306,9.344,553.629,573.62,0.053,0.068,0.082,0.75,1.719,1.185,2.82,4.088,0.709,0,0.756,0,0.707,122,0.748,0.714,0.162,10
spider_high_2.m4v,3,2,2,592.922,595.923,0.912,5.356,0.685,3.754,608.773,628.832,1,1,1,0,1.852,1.735,2.403,0.968,0.655,0,0.743,0.052,0.72,122,0.681,0.714,0.162,11
spider_low_5.mov,3,1,1,645.28,648.28,1,1.535,0.501,4.989,660.547,680.887,0.791,0.838,0.701,0,3.571,1.869,2.002,1.435,0.71,0,0.711,0.155,0.689,122,0.717,0.714,0.162,12
spider_low_2.mov,3,1,2,772.154,775.154,1,2.57,0.809,3.971,785.435,805.975,1,1,0.686,0,1.869,1.085,5.206,1.952,0.712,0,0.693,0.051,0.724,122,0.669,0.714,0.162,13
spider_high_4.m4v,3,2,1,825.596,828.597,0.198,6.591,0.178,2.853,841.781,862.257,1,1,1,0,1.435,1.335,2.203,0.751,0.696,0,0.78,0,0.759,122,0.675,0.714,0.162,14
spider_high_5.m4v,3,2,1,877.47,880.471,0.817,1.952,0.169,2.703,889.867,910.359,1,1,1,0,1.202,0.951,0.968,0.701,0.735,0,0.727,0.154,0.719,122,0.716,0.714,0.162,15
heights_high_3.m4v,1,2,2,923.688,926.689,0.915,4.188,0.51,2.653,942.275,962.901,0.862,0.853,0.791,0.15,2.737,1.368,2.036,2.953,0.714,0,0.707,0.204,0.669,122,0.658,0.714,0.162,16
heights_low_3.mov,1,1,1,981.485,984.486,0.831,3.521,0.514,1.552,998.304,1016.808,0.145,0.126,0.25,0.811,1.736,1.252,3.17,3.754,0.762,0,0.765,0.057,0.723,122,0.561,0.714,0.162,17
social_high_1.mov,2,2,2,1036.229,1039.23,0.173,1.852,0.199,1.402,1048.226,1068.299,0.208,0.686,0.785,0.797,3.02,4.555,6.29,4.155,0.65,0,0.727,0,0.745,122,0.663,0.714,0.162,18
social_low_1.m4v,2,1,1,1095.812,1098.812,0.185,6.724,0.154,2.336,1112.614,1133.423,0,0.068,0.116,0.877,2.453,1.602,4.906,2.169,0.727,0,0.732,0,0.723,122,0.754,0.714,0.162,19
spider_low_3.m4v,3,1,2,1154.043,1157.043,1,1.285,0.209,2.286,1166.356,1187.032,1,1,0.495,0.154,1.602,0.868,2.686,2.92,0.664,0,0.712,0.102,0.708,122,0.658,0.714,0.162,20
heights_low_4.m4v,1,1,2,1204.599,1207.599,0.8,4.472,0.231,2.72,1223.536,1244.562,0.675,0.495,0.503,0.5,2.82,4.822,3.437,1.619,0.703,0,0.757,0.15,0.704,122,0.662,0.714,0.162,21
heights_high_5.mov,1,2,1,1266.751,1269.751,0.786,4.021,0.22,1.902,1284.42,1304.426,1,1,1,0,2.036,0.734,1.101,1.919,0.668,0,NaN,0.158,0.707,122,0.631,0.714,0.162,22
social_low_6.m4v,2,1,2,1319.709,1322.71,0.157,3.004,0.152,2.169,1331.623,1351.047,0.076,0.058,0.267,0.828,3.454,2.987,4.989,2.887,NaN,0,0.765,0,0.731,122,NaN,0.714,0.162,23
social_high_2.mov,2,2,1,1374.854,1377.854,0.127,2.72,0.1,1.869,1386.183,1407.157,0.73,0.757,0.773,0,4.272,1.152,3.287,2.386,0.6,0,0.716,0.1,0.697,122,0.734,0.714,0.162,24
spider_low_1.m4v,3,1,2,1508.351,1511.352,1,2.953,0.175,4.972,1525.02,1545.243,0.622,0.613,0.641,0.108,3.421,3.087,3.371,2.553,0.643,0,0.668,0.052,0.713,122,0.662,0.714,0.162,25
spider_high_1.mov,3,2,1,1567.166,1570.167,1,3.104,0.097,3.137,1581.149,1601.155,1,1,1,0,1.685,0.818,1.101,0.768,0.65,0,0.687,0.105,0.734,122,0.729,0.714,0.162,26
social_high_5.m4v,2,2,2,1615.019,1618.02,0.102,2.42,0.086,2.136,1628.317,1648.326,0.132,0.588,0.91,0.845,6.758,3.387,3.054,2.169,0.679,0,0.717,0.053,0.722,122,0.671,0.714,0.162,27
heights_high_1.m4v,1,2,2,1673.184,1676.184,0.789,3.02,0.51,8.326,1696.276,1716.685,1,1,1,0,1.986,1.001,1.251,1.268,0.618,0,0.684,0.052,0.721,122,0.697,0.714,0.162,28
heights_low_5.m4v,1,1,1,1731.682,1734.682,0.922,3.07,0.162,2.303,1748.801,1768.792,0.058,0.104,0.296,0.923,4.655,2.353,2.553,3.855,0.691,0,0.652,0.158,0.696,122,0.735,0.714,0.162,29
spider_high_6.mov,3,2,2,1791.698,1794.698,1,3.121,0.52,2.47,1804.028,1823.667,1,1,1,0,1.635,0.968,0.968,1.035,0.731,0,0.709,0.107,0.69,122,0.703,0.714,0.162,30
spider_low_6.m4v,3,1,1,1837.766,1840.766,1,1.485,0.661,2.203,1848.194,1868.72,0.887,0.762,0.657,0,2.937,4.171,2.57,1.352,0.707,0,0.716,0.051,0.694,122,0.7,0.714,0.162,31
heights_low_1.m4v,1,1,2,1889.239,1892.24,0.889,2.336,0.208,2.503,1905.824,1926.817,0,0,0.068,1,2.854,1.035,2.853,1.852,0.695,0,0.745,0,0.723,122,0.627,0.714,0.162,32
heights_high_4.m4v,1,2,1,1944.901,1947.901,0.915,3.521,0.144,2.253,1962.42,1982.712,0.908,1,0.884,0.066,2.82,1.669,2.92,2.82,0.646,0,0.713,0.207,0.69,122,0.716,0.714,0.162,33
social_low_4.m4v,2,1,2,2002.431,2005.431,0.128,1.652,0.117,1.585,2012.409,2033.151,0.055,0.096,0.13,0.918,3.487,1.352,2.787,2.336,0.698,0,0.665,0,0.645,122,0.672,0.714,0.162,34
social_low_2.mov,2,1,1,2052.603,2055.603,0.126,2.536,0.122,1.318,2064.199,2085.543,0.121,0.616,0.645,0.719,5.44,2.052,3.004,3.771,0.597,0,0.664,0,0.721,122,0.683,0.714,0.162,35
social_high_4_replacement.mov,2,2,1,2109.299,2112.3,0.132,7.459,0.133,1.152,2124.65,2144.956,0.782,0.787,0.774,0.143,2.77,1.519,1.986,1.719,0.72,0,0.737,0.052,0.705,122,0.769,0.714,0.162,36
social_low_5.m4v,2,1,2,10.078,13.104,0.291,2.603,0.324,1.202,20.707,40.698,0.395,0.403,0.665,0.674,2.62,1.018,2.236,1.735,0.542,0,0.522,0.211,0.557,123,0.599,0.599,0.155,1
social_high_1.mov,2,2,1,57.83,60.831,0.238,2.002,0.51,1.135,67.725,87.798,0.36,0.463,0.716,0.837,2.62,9.944,1.435,1.702,0.547,0,0.577,0.157,0.585,123,0.52,0.599,0.155,2
heights_high_3.m4v,1,2,2,113.008,116.009,0.291,2.954,0.518,1.719,129.427,150.053,0.833,0.607,0.763,0.318,1.869,1.151,2.236,1.936,0.58,0,0.586,0.153,0.594,123,0.573,0.599,0.155,3
spider_low_5.mov,3,1,2,166.734,169.735,0.649,2.353,0.568,1.886,177.713,198.037,0.301,0.359,0.409,0.418,2.603,0.868,2.253,1.669,0.595,0,0.571,0.103,0.558,123,0.559,0.599,0.155,4
heights_high_4.m4v,1,2,2,214.938,217.94,0.641,2.453,0.55,1.519,230.656,250.949,0.647,0.579,0.733,0.193,2.52,1.285,1.419,1.585,0.574,0,0.56,0.207,0.601,123,0.553,0.599,0.155,5
heights_low_1.m4v,1,1,1,267.262,270.262,0.575,3.287,0.5,0.434,282.729,303.724,0.095,0.298,0.777,0.811,2.553,1.085,2.002,1.419,0.613,0,0.637,0.15,0.604,123,0.587,0.599,0.155,6
heights_low_3.mov,1,1,1,320.271,323.271,0.413,2.486,0.392,1.335,335.838,354.342,0.024,0.232,0.316,0.922,1.335,1.051,1.685,1.802,0.619,0,0.606,0,0.631,123,0.644,0.599,0.155,7
spider_low_2.mov,3,1,2,369.708,372.711,0.678,1.936,0.592,1.869,382.256,402.812,0.258,0.364,0.78,0.729,1.385,0.935,1.168,0.751,0.573,0,0.622,0,0.624,123,0.598,0.599,0.155,8
spider_high_4.m4v,3,2,1,416.544,419.544,0.366,3.204,0.444,1.451,427.939,448.415,0.656,0.667,0.634,0.119,2.069,0.801,1.435,1.435,0.619,0,0.619,0,0.635,123,0.584,0.599,0.155,9
spider_high_2.m4v,3,2,1,463.646,466.646,0.564,2.27,0.498,2.503,476.16,496.218,0.588,0.588,0.527,0.084,2.553,0.835,1.352,1.902,0.562,0,0.574,0,0.621,123,NaN,0.599,0.155,10
social_low_6.m4v,2,1,2,512.349,515.35,0.5,3.421,0.5,0.467,524.98,544.405,0.311,0.172,0.272,0.806,2.169,1.001,1.652,1.952,0.554,0,0.55,0,0.594,123,0.548,0.599,0.155,11
social_high_4_replacement.mov,2,2,1,560.686,563.686,0.355,1.919,0.37,2.736,573.083,593.39,0.261,0.408,0.423,0.518,2.336,1.335,3.588,1.769,0.573,0,0.643,0,0.625,123,0.594,0.599,0.155,12
social_low_1.m4v,2,1,2,688.578,691.578,0.219,3.371,0.383,1.402,700.09,720.9,0.322,0.328,0.689,0.573,3.604,2.303,1.519,3.604,0.605,0,0.619,0,0.609,123,0.604,0.599,0.155,13
spider_high_6.mov,3,2,2,741.419,744.42,0.533,3.671,0.418,3.571,756.403,776.025,0.55,0.706,0.534,0.048,2.887,1.836,2.303,1.702,0.556,0,0.587,0,0.61,123,0.547,0.599,0.155,14
spider_low_1.m4v,3,1,1,794.245,797.245,0.48,2.753,0.539,1.986,805.724,825.95,0.223,0.335,0.319,0.51,3.454,1.635,1.669,3.054,0.573,0,0.571,0,0.524,123,0.598,0.599,0.155,15
heights_low_5.m4v,1,1,2,845.268,848.268,0.446,2.57,0.408,3.888,863.471,883.463,0.219,0.393,0.323,0.754,2.486,1.152,1.669,1.085,0.6,0,0.596,0,0.559,123,0.559,0.599,0.155,16
spider_high_5.m4v,3,2,2,899.344,902.344,0.647,4.756,0.563,0.868,911.708,932.2,0.413,0.418,0.44,0.497,2.703,1.418,2.353,2.553,0.587,0,0.544,0,0.605,123,0.549,0.599,0.155,17
spider_low_6.m4v,3,1,1,950.718,953.718,0.421,1.201,0.5,1.001,961.663,982.172,0.32,0.381,0.769,0.622,2.887,0.834,0.534,1.936,0.586,0,0.607,0,0.609,123,0.602,0.599,0.155,18
social_high_5.m4v,2,2,2,997.853,1000.853,0.365,1.619,0.381,1.352,1007.564,1027.572,0.355,0.398,0.67,0.452,3.504,0.985,1.652,3.104,0.561,0,0.565,0,0.592,123,0.565,0.599,0.155,19
social_high_6.mov,2,2,1,1046.307,1049.307,0.324,4.789,0.384,4.388,1063.225,1083.765,0.53,0.719,0.388,0.253,2.52,0.851,1.635,0.968,0.551,0,0.602,0,0.589,123,0.558,0.599,0.155,20
social_low_2.mov,2,1,1,1099.232,1102.232,0.403,2.436,0.419,1.585,1111.996,1133.339,0.79,0.77,0.651,0.35,2.637,0.968,1.001,0.851,0.572,0,0.561,0,0.546,123,0.592,0.599,0.155,21
heights_high_6.mov,1,2,2,1148.286,1151.286,0.5,4.405,0.5,0.484,1164.921,1185.428,0.945,0.92,0.763,0.044,2.52,1.218,1.035,1.035,0.556,0,0.645,0,0.662,123,0.536,0.599,0.155,22
heights_low_6.m4v,1,1,1,1200.727,1203.728,0.375,3.538,0.411,1.368,1217.379,1235.386,0.574,0.562,0.624,0.668,2.636,0.801,1.469,2.403,0.613,0,0.56,0,0.587,123,0.659,0.599,0.155,23
heights_high_5.mov,1,2,1,1252.184,1255.184,0.613,4.105,0.472,1.285,1269.32,1289.326,0.708,0.776,0.774,0.116,2.419,1.268,0.868,0.884,0.564,0,0.535,0,0.579,123,0.541,0.599,0.155,24
social_high_2.mov,2,2,2,1376.722,1379.722,0.227,2.47,0.472,1.218,1388.151,1409.108,0.595,0.732,0.647,0.319,3.221,1.101,1.251,1.318,0.528,0,0.582,0,0.578,123,0.51,0.599,0.155,25
spider_low_4.m4v,3,1,2,1425.492,1428.493,0.536,1.802,0.442,1.218,1436.254,1456.764,0.199,0.253,0.384,0.694,2.536,1.519,1.118,0.701,0.57,0,0.56,0,NaN,123,0.562,0.599,0.155,26
spider_low_3.m4v,3,1,1,1472.127,1475.128,0.5,2.92,0.5,0.334,1482.121,1502.781,0.125,0.219,0.76,0.685,2.002,0.985,1.368,1.368,NaN,0,NaN,0,NaN,123,NaN,0.599,0.155,27
heights_low_2.m4v,1,1,2,1517.995,1520.995,0.602,3.22,0.5,0.801,1533.762,1553.787,0.078,0.113,0.738,0.813,2.253,1.168,1.168,0.851,NaN,0,NaN,0,NaN,123,NaN,0.599,0.155,28
social_high_3.mov,2,2,2,1568.717,1571.718,0.291,1.902,0.316,1.001,1578.361,1598.735,0.68,0.708,0.652,0.23,2.169,0.718,0.751,0.801,NaN,0,NaN,0,NaN,123,NaN,0.599,0.155,29
social_low_3.m4v,2,1,1,1612.666,1615.666,0.44,2.67,0.411,1.068,1625.146,1645.305,0.216,0.181,0.707,0.876,2.97,1.068,1.252,1.402,NaN,0,NaN,0,NaN,123,NaN,0.599,0.155,30
social_low_4.m4v,2,1,1,1661.487,1664.487,0.5,1.402,0.5,0.401,1670.03,1690.755,0.296,0.287,0.674,0.935,2.086,0.918,1.085,0.751,NaN,0,NaN,0,NaN,123,NaN,0.599,0.155,31
heights_high_1.m4v,1,2,2,1705.085,1708.085,0.436,2.053,0.5,0.851,1719.734,1740.143,0.76,0.765,0.885,0.118,1.886,0.551,0.935,1.569,NaN,0,NaN,0,NaN,123,NaN,0.599,0.155,32
