video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,anticipation_hp,anticipation_scr_events,video_hp,video_scr,hp_video_ratings,participant_num,hp_base_anticipation,base_ECG,base_scr,trial_num
heights_low_5.m4v,1,1,1,1511.49,1514.49,0.059,1.368,0.056,1.819,1526.406,1546.363,0.05,0.04,0.255,0.827,4.572,1.418,2.186,3.471,0.833,0,0.838,0.106,0.889,107,0.797,0.828,0.052,27
heights_high_6.mov,1,2,1,1567.502,1570.502,0.055,2.419,0.06,1.051,1582.702,1603.175,0.631,0.369,0.814,0.359,1.585,0.768,1.702,2.053,0.852,0,0.901,0.154,0.865,107,0.733,0.828,0.052,28
spider_low_2.mov,3,1,2,1618.775,1621.775,0.044,1.435,0.06,1.635,1628.569,1649.093,0.121,0.105,0.707,0.651,2.002,1.018,1.001,2.203,0.899,0,0.883,0.102,0.856,107,0.874,0.828,0.052,29
spider_high_3.mov,3,2,1,1664.81,1667.81,0.141,1.902,0.102,1.301,1675.738,1695.844,0.407,0.375,0.907,0.146,2.47,1.101,1.285,4.105,0.884,0,0.948,0.157,0.858,107,0.877,0.828,0.052,30
spider_high_2.m4v,3,2,1,1714.298,1717.298,0.183,3.504,0.18,1.352,1725.877,1745.9,0.26,0.321,0.923,0.052,1.635,0.868,1.101,1.285,0.83,0,0.963,0.105,0.913,107,0.826,0.828,0.052,31
heights_high_2.mov,1,2,2,1760.282,1763.282,0.103,1.785,0.092,1.485,1775.282,1796.139,0.769,0.481,0.963,0.251,1.752,2.153,1.185,1.986,0.965,0,0.993,0.101,0.955,107,0.781,0.828,0.052,32
spider_low_5.mov,3,1,2,1812.707,1815.707,0.236,2.269,0.027,2.236,1825.938,1846.244,0.079,0.063,0.059,0.462,2.136,0.884,2.303,2.219,1.022,0,0.98,0,0.946,107,0.881,0.828,0.052,33
social_low_5.m4v,2,1,2,1863.279,1866.279,0.053,2.203,0.052,2.019,1876.227,1896.184,0.048,0.044,0.694,0.842,1.285,0.918,0.985,1.118,0.946,0,0.985,0,0.925,107,0.965,0.828,0.052,34
social_high_4_replacement.mov,2,2,1,1909.981,1912.981,0.077,1.168,0.051,1.502,1919.375,1939.648,0.501,0.212,0.741,0.272,0.651,2.47,1.936,2.002,0.881,0,0.942,0.052,0.931,107,0.882,0.828,0.052,35
social_high_5.m4v,2,2,1,1956.199,1959.199,0.034,1.585,0.04,1.185,1965.693,1985.666,0.5,0.665,0.751,0.516,2.736,1.785,3.254,1.418,0.846,0,0.977,0.053,0.912,107,0.746,0.828,0.052,36
heights_low_2.m4v,1,1,2,10.061,13.085,0.543,4.105,0.5,1.035,26.963,46.953,0.062,0.054,0.036,0.4,1.735,1.085,1.552,3.638,0.743,0,NaN,0.158,0.834,108,NaN,0.728,0.152,1
heights_high_5.mov,1,2,1,64.455,67.455,0.509,3.621,0.096,1.518,81.34,101.329,0.649,0.593,0.806,0.452,1.752,1.568,1.435,5.156,0.794,0,0.77,0.263,0.858,108,0.831,0.728,0.152,2
heights_low_6.m4v,1,1,1,120.734,123.734,0.402,3.17,0.068,0.784,136.418,154.405,0.051,0.044,0.5,0.5,1.452,1.702,0.017,0.017,0.751,0,0.807,0.235,0.801,108,0.668,0.728,0.152,3
social_high_3.mov,2,2,2,167.085,170.085,0.62,4.555,0.152,0.985,179.348,199.705,0.38,0.635,0.874,0.743,4.488,1.385,1.518,1.952,0.787,0,0.789,0.103,0.767,108,0.878,0.728,0.152,4
social_low_6.m4v,2,1,1,218.542,221.543,0.5,2.519,0.079,1.034,230.822,250.212,0.771,0.816,0.799,0.075,2.419,0.601,1.685,1.518,0.725,0,0.776,0.054,0.798,108,0.718,0.728,0.152,5
social_high_1.mov,2,2,1,265.928,268.928,0.355,2.186,0.106,0.801,276.639,296.679,0.627,0.696,0.625,0.515,2.136,2.286,1.118,1.835,0.734,0,0.803,0,0.766,108,0.617,0.728,0.152,6
spider_low_6.m4v,3,1,2,313.547,316.547,0.655,1.669,0.087,0.934,324.876,345.366,0.831,0.656,0.858,0.464,1.752,1.285,1.201,2.803,0.701,0,0.775,0.051,0.778,108,0.722,0.728,0.152,7
spider_high_1.mov,3,2,1,361.9,364.901,0.729,1.585,0.19,2.086,372.295,392.268,0.894,0.653,0.724,0.095,1.468,1.001,0.884,1.635,0.726,0,0.795,0.053,0.795,108,0.77,0.728,0.152,8
spider_high_5.m4v,3,2,1,406.75,409.75,0.86,1.635,0.248,1.151,417.262,437.735,0.832,0.798,0.826,0,1.151,1.035,1.301,1.485,NaN,0,0.789,0.103,0.779,108,0.752,0.728,0.152,9
social_low_3.m4v,2,1,2,452.2,455.201,0.351,1.568,0.204,2.57,463.062,483.186,0.093,0.046,0.086,0.505,2.486,1.485,1.769,2.153,0.634,0,0.788,0,0.755,108,0.649,0.728,0.152,10
spider_low_1.m4v,3,1,2,500.571,503.571,0.661,1.268,0.048,1.602,510.164,530.371,0.109,0.507,0.5,0.332,2.136,0.017,0.017,4.689,0.68,0,0.731,0.104,0.803,108,0.714,0.728,0.152,11
heights_high_4.m4v,1,2,2,546.722,549.722,0.811,2.369,0.095,1.785,562.606,582.879,0.849,0.838,0.767,0.142,1.535,1.251,1.201,1.468,0.763,0,0.713,0.052,0.822,108,0.744,0.728,0.152,12
spider_low_2.mov,3,1,2,675.531,678.531,0.731,1.218,0.052,1.435,684.908,705.431,0.259,0.161,0.695,0.736,1.502,1.185,2.403,1.485,0.77,0,0.8,0,0.794,108,0.74,0.728,0.152,13
spider_low_4.m4v,3,1,1,721.498,724.499,0.641,1.819,0.173,1.001,731.042,751.516,0.117,0.087,0.114,0.477,1.285,1.168,2.419,1.585,0.834,0,0.758,0.051,0.776,108,0.817,0.728,0.152,14
spider_high_2.m4v,3,2,1,767.466,770.466,0.5,0.401,0.117,1.402,777.994,798.017,0.771,0.5,0.66,0.157,1.285,0.017,1.685,1.635,0.866,0,0.822,0.053,0.816,108,0.645,0.728,0.152,15
heights_low_3.mov,1,1,2,812.132,815.132,0.652,1.952,0.216,1.368,827.182,845.669,0.082,0.032,0.093,0.518,1.836,0.634,1.302,1.619,0.666,0,NaN,0.172,0.646,108,0.728,0.728,0.152,16
social_low_1.m4v,2,1,2,860.552,863.553,0.2,2.553,0.073,1.502,872.332,893.123,0.457,0.482,0.483,0.5,2.203,0.484,0.684,0.567,0.816,0,0.79,0.051,0.78,108,0.757,0.728,0.152,17
social_low_2.mov,2,1,1,906.553,909.553,0.324,2.636,0.142,1.218,917.131,938.456,0.099,0.136,0.068,0.477,2.003,0.717,1.018,1.168,0.801,0,0.81,0.049,0.812,108,0.827,0.728,0.152,18
spider_high_4.m4v,3,2,2,952.854,955.855,0.703,1.318,0.081,1.502,963.399,983.856,1,1,0.935,0,1.101,0.734,1.719,1.352,0.558,0,0.78,0.051,0.862,108,0.623,0.728,0.152,19
heights_high_1.m4v,1,2,2,998.255,1001.255,0.5,2.436,0.151,1.518,1013.939,1034.329,0.593,0.543,0.608,0.327,1.552,0.651,0.667,1.135,0.742,0,0.707,0.103,0.735,108,0.68,0.728,0.152,20
heights_low_5.m4v,1,1,1,1047.826,1050.826,0.5,2.036,0.099,2.219,1063.81,1083.767,0.104,0.067,0.458,0.529,2.286,0.968,0.584,2.152,0.667,0,0.739,0.053,0.734,108,0.66,0.728,0.152,21
heights_high_3.m4v,1,2,1,1099.25,1102.25,0.351,2.069,0.111,1.268,1114.316,1134.907,0.91,0.843,0.803,0.196,2.002,1.085,1.035,1.068,0.762,0,0.73,0.204,0.804,108,0.769,0.728,0.152,22
social_high_5.m4v,2,2,2,1149.589,1152.589,0.136,1.035,0.054,1.185,1158.532,1178.505,0.371,0.33,0.233,0.321,1.302,0.701,0.868,1.836,0.613,0,0.739,0,0.733,108,0.689,0.728,0.152,23
social_high_6.mov,2,2,1,1192.703,1195.703,0.217,2.353,0.171,0.851,1204.633,1225.156,0.689,0.646,0.712,0.174,2.536,0.834,0.567,0.851,0.582,0,0.74,0.051,0.827,108,0.658,0.728,0.152,24
heights_low_1.m4v,1,1,2,1347.741,1350.742,0.748,1.118,0.109,1.352,1361.94,1382.915,0.104,0.085,0.093,0.83,1.185,0.834,1.335,1.502,0.707,0,0.752,0.15,0.768,108,0.628,0.728,0.152,25
spider_high_6.mov,3,2,2,1397.263,1400.263,0.896,1.552,0.28,1.035,1406.573,1426.178,0.779,0.744,0.741,0.185,1.385,0.484,0.734,0.868,0.671,0,0.785,0.054,0.812,108,0.801,0.728,0.152,26
spider_low_5.mov,3,1,1,1439.143,1442.143,0.2,1.785,0.198,1.585,1450.238,1470.544,0.754,0.659,0.223,0.515,1.201,0.551,0.684,0.017,0.652,0,0.787,0.104,0.902,108,0.624,0.728,0.152,27
social_low_5.m4v,2,1,2,1482.491,1485.491,0.117,2.486,0.161,1.118,1492.818,1512.775,0,0.023,0.058,0.263,1.986,0.834,0.934,1.952,0.703,0,0.681,0.106,0.849,108,0.836,0.728,0.152,28
heights_high_6.mov,1,2,2,1527.974,1530.974,0.31,3.27,0.057,0.734,1543.708,1564.181,0.728,0.787,0.765,0.137,2.319,0.551,0.851,1.235,0.799,0,0.723,0.257,0.811,108,0.857,0.728,0.152,29
heights_high_2.mov,1,2,1,1578.63,1581.63,0.5,2.036,0.083,1.835,1594.231,1615.087,0.671,0.596,0.568,0.26,2.019,0.734,0.718,1.352,0.706,0,0.779,0.201,0.767,108,0.638,0.728,0.152,30
heights_low_4.m4v,1,1,1,1629.403,1632.403,0.742,1.819,0.113,1.285,1644.236,1665.227,0.059,0.115,0.134,0.85,1.302,0.751,0.768,1.135,0.638,0,0.883,0,NaN,108,0.703,0.728,0.152,31
social_high_2.mov,2,2,2,1678.674,1681.674,0.098,2.636,0.097,1.135,1691.171,1712.112,0.112,0.168,0.748,0.671,2.636,1.101,1.685,1.135,0.695,0,0.883,0.05,0.939,108,0.835,0.728,0.152,32
social_high_4_replacement.mov,2,2,1,1728.162,1731.163,0.111,2.353,0.095,0.934,1738.173,1758.446,0.794,0.713,0.633,0.211,1.785,0.801,0.868,0.801,0.79,0,0.921,0,0.911,108,0.888,0.728,0.152,33
social_low_4.m4v,2,1,1,1772.194,1775.195,0.109,0.834,0.106,1.085,1781.838,1802.546,0.062,0.067,0.494,0.754,1.652,0.768,1.418,0.734,0.696,0,0.713,0.051,0.708,108,0.768,0.728,0.152,34
spider_low_3.m4v,3,1,2,1816.61,1819.61,0.825,2.269,0.283,0.851,1826.454,1847.095,0.563,0.303,0.662,0.539,1.936,1.135,1.251,1.568,0.799,0,0.79,0.051,0.724,108,0.728,0.728,0.152,35
spider_high_3.mov,3,2,1,1862.478,1865.478,0.359,2.453,0.185,1.285,1874.941,1895.047,0.5,0.5,0.5,0.5,1.135,0.4,0.651,0.617,0.68,0,0.816,0,0.815,108,0.672,0.728,0.152,36
social_low_6.m4v,2,1,2,10.096,13.12,0.042,3.888,0,2.003,23.793,43.215,0.087,0.243,0.803,0.864,3.471,2.968,4.172,3.638,0.868,0,0.904,0.109,0.932,109,0.818,0.821,0.141,1
social_high_2.mov,2,2,1,67.074,70.074,0.256,2.703,0.057,2.47,79.037,99.994,0.347,0.597,0.609,0.07,4.405,1.402,7.775,2.67,0.854,0,0.929,0.1,0.932,109,0.954,0.821,0.141,2
spider_low_1.m4v,3,1,2,125.856,128.856,0.532,4.002,0.054,1.535,138.169,158.409,0.009,0.044,0.02,0.416,1.602,1.869,2.67,3.671,0.937,0,0.908,0.104,0.901,109,0.924,0.821,0.141,3
heights_high_2.mov,1,2,2,177.813,180.814,0.124,2.136,0.066,2.1,193.831,214.705,0.685,0.952,0.78,0.378,2.069,3.304,3.738,3.904,0.775,0,0.895,0.151,0.919,109,0.874,0.821,0.141,4
social_high_1.mov,2,2,2,237.329,240.33,0.048,3.437,0.09,2.369,251.945,272.002,0.253,0.029,0.931,1,4.038,2.336,2.67,0.832,0.866,0,0.711,0.157,0.85,109,0.887,0.821,0.141,5
social_low_1.m4v,2,1,1,291.489,294.489,0.107,2.503,0.048,1.635,302.401,323.242,0,0,0,0.73,1.134,1.435,1.735,2.837,0.783,0,0.778,0.05,0.922,109,0.807,0.821,0.141,6
heights_low_6.m4v,1,1,2,339.993,342.993,0.661,2.436,0.047,2.002,356.21,374.215,0.091,0.023,0.874,1,1.869,1.466,2.336,0.868,0.871,0,0.87,0.059,0.877,109,0.868,0.821,0.141,7
heights_high_3.m4v,1,2,1,390.351,393.351,0.257,1.135,0.021,1.633,404.914,425.521,0.654,0.856,1,0.646,4.639,1.001,2.77,4.071,0.769,0,0.807,0.153,0.767,109,0.746,0.821,0.141,8
heights_low_1.m4v,1,1,1,447.595,450.595,0.253,1.101,0.131,1.836,462.311,483.335,0,0,0.038,0.683,1.602,0.934,2.203,2.97,0.74,0,0.845,0.05,0.792,109,0.748,0.821,0.141,9
spider_high_3.mov,3,2,2,500.637,503.638,0.699,2.002,0.044,1.869,511.282,531.405,0.857,0.967,1,0,5.706,1.435,2.503,0.501,0.713,0,0.724,0.157,0.811,109,0.699,0.821,0.141,10
spider_low_2.mov,3,1,1,551.145,554.145,0.82,1.368,0.296,2.47,562.772,583.329,0.189,0.159,0.768,0.885,3.07,1.802,1.668,1.969,0.701,0,0.82,0,0.804,109,0.738,0.821,0.141,11
spider_high_5.m4v,3,2,1,601.434,604.434,0.714,1.133,0.199,1.335,612.711,633.235,0.843,0.772,0.834,0.18,1.468,1.435,1.702,1.469,0.733,0,0.808,0,0.693,109,0.732,0.821,0.141,12
heights_low_4.m4v,1,1,2,726.137,729.137,0.614,6.741,0.005,1.602,746.259,767.283,0.079,0.061,0.656,1,2.403,1.235,1.268,1.468,0.865,0,0.812,0.1,0.847,109,0.852,0.821,0.141,13
heights_high_5.mov,1,2,1,783.283,786.283,0.029,1.969,0,0.601,797.632,817.638,0.093,0.093,0.784,0.751,1.702,1.033,1.201,1.867,0.696,0,0.836,0.158,0.828,109,0.636,0.821,0.141,14
heights_high_1.m4v,1,2,1,833.055,836.055,0.147,1.034,0.12,1.101,846.97,867.377,0.879,0.82,0.903,0.642,1.402,0.801,1.635,2.97,0.726,0,0.804,0.155,0.78,109,0.796,0.821,0.141,15
social_high_6.mov,2,2,2,883.778,886.778,0,1.902,0.068,1.001,894.456,914.996,0.047,0.142,0.699,0.738,1.602,1.068,2.336,4.806,0.749,0,0.867,0,0.886,109,0.668,0.821,0.141,16
social_low_5.m4v,2,1,1,934.4,937.401,0.057,1.601,0.011,1.468,946.263,966.236,0,0,0,0.734,1.201,0.735,2.937,1.435,0.839,0,0.863,0,0.886,109,0.817,0.821,0.141,17
social_low_3.m4v,2,1,1,982.136,985.137,0.063,1.068,0,0.934,990.929,1011.069,0,0,0.654,0.971,1.068,0.733,2.202,1.769,0.74,0,0.854,0.052,0.892,109,0.833,0.821,0.141,18
heights_low_2.m4v,1,1,2,1026.452,1029.452,0.288,1.335,0.073,1.268,1040.851,1060.874,0,0,0.826,1,1.869,0.935,1.402,1.001,0.885,0,0.783,0.053,0.897,109,0.892,0.821,0.141,19
spider_low_4.m4v,3,1,2,1075.673,1078.673,0.684,2.67,0.07,1.633,1087.753,1108.26,0.048,0.037,0.026,0.254,2.236,1.302,1.435,2.069,0.687,0,0.898,0.103,0.817,109,0.784,0.821,0.141,20
spider_low_5.mov,3,1,1,1124.911,1127.911,0.678,1.602,0.026,1.268,1136.557,1156.88,0.688,0.634,0.712,0.21,2.837,1.735,2.436,1.602,0.743,0,0.841,0.207,0.817,109,0.84,0.821,0.141,21
