,epoch,train_loss,valid_loss,time
0,0,1.9156028032302856,2.080172061920166,00:00
1,1,2.214311361312866,2.0683131217956543,00:00
2,2,2.0221707820892334,1.9960203170776367,00:00
3,3,1.5364550352096558,1.8259364366531368,00:00
4,4,1.4585036039352417,1.656830072402954,00:00
5,5,1.6970900297164917,1.5421440601348877,00:00
6,6,1.1678482294082642,1.469356656074524,00:00
7,7,1.362734079360962,1.421701431274414,00:00
8,8,1.144279956817627,1.3903448581695557,00:00
9,9,1.3442392349243164,1.3758777379989624,00:00
10,10,1.254441738128662,1.360824704170227,00:00
11,11,1.2911192178726196,1.3528642654418943,00:00
12,12,1.3215774297714231,1.3462927341461182,00:00
13,13,1.1559168100357056,1.3438870906829834,00:00
14,14,1.406449317932129,1.340902328491211,00:01
15,15,1.3372739553451538,1.3378901481628418,00:01
16,16,1.316437840461731,1.3374292850494385,00:01
17,17,1.1550517082214355,1.3358948230743408,00:01
18,18,1.2941017150878906,1.335620641708374,00:00
19,19,1.0483367443084717,1.3355612754821775,00:00
