,epoch,train_loss,valid_loss,time
0,0,0.0094033610075712,0.0093492930755019,00:00
1,1,0.0077317156828939,0.0076582394540309,00:00
2,2,0.005289401859045,0.0050925728864967,00:00
3,3,0.0036940611898899,0.0039182216860353,00:00
4,4,0.0032347056549042,0.003706865478307,00:00
5,5,0.0031270913314074,0.0036631308030337,00:00
6,6,0.0031483655329793,0.0036229807883501,00:00
7,7,0.0030424913857132,0.0035836703609675,00:00
8,8,0.0029134452342987,0.003588103223592,00:00
9,9,0.0028700183611363,0.0035912906751036,00:00
10,10,0.0031529795378446,0.0035777743905782,00:00
11,11,0.0029951040633022,0.0035829185508191,00:00
12,12,0.002750199753791,0.0035734297707676,00:00
13,13,0.0028852284885942,0.0035723152104765,00:00
14,14,0.0027836486697196,0.0035712381359189,00:00
15,15,0.0026527203153818,0.0035757564473897,00:00
16,16,0.0027924615424126,0.0035761245526373,00:00
17,17,0.0025979522615671,0.0035724935587495,00:00
18,18,0.0026341089978814,0.0035717221908271,00:00
19,19,0.0026963157579302,0.0035716330166906,00:00
