,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
39,3,2,6,26,1,27,28,29,5,4,30,31,15,16,17,37,19,18,35,0,13,38,21,32,10,25,34,33,36,14,12,11,23,20,22,7,24,8,9
40,3,6,1,27,2,26,28,29,5,4,30,31,17,15,16,37,35,19,18,38,0,13,32,21,10,34,33,25,36,12,14,11,23,20,22,24,9,7,8
41,3,6,29,27,26,28,2,30,5,1,31,4,37,15,35,0,13,17,38,16,32,18,19,21,33,34,36,10,25,14,12,11,22,23,20,24,9,7,8
42,3,2,6,29,26,28,27,1,4,5,31,30,15,16,13,0,17,18,19,37,32,21,35,38,25,14,10,34,33,36,12,11,23,20,22,7,24,8,9
43,6,2,3,0,13,29,28,32,26,4,5,15,27,31,17,16,30,1,18,19,37,21,35,38,14,25,10,36,33,34,12,11,22,23,20,7,24,8,9
44,32,0,13,14,6,17,21,15,16,18,2,3,25,19,4,5,22,29,1,23,31,28,26,7,8,20,11,27,24,30,9,10,38,12,37,35,36,33,34
45,6,3,2,1,5,4,26,17,16,15,28,27,29,0,13,19,18,32,31,21,30,25,14,37,10,38,35,12,34,33,36,11,23,22,20,7,24,8,9
46,3,2,6,1,26,5,27,4,28,29,30,31,15,16,17,19,37,35,18,38,0,13,21,10,32,34,25,33,36,12,14,11,23,20,22,7,24,9,8
47,3,6,2,5,4,1,26,32,27,28,29,0,13,17,31,30,15,16,18,19,35,37,21,38,14,10,25,12,33,34,36,11,22,23,9,24,8,20,7
48,3,6,1,2,5,4,26,27,28,29,17,30,31,15,16,0,13,32,18,19,35,37,38,21,10,25,14,12,34,33,36,11,23,22,9,24,20,8,7
49,2,6,3,1,4,5,26,28,27,29,16,15,19,30,17,18,21,31,37,38,13,0,35,10,25,14,34,32,12,36,33,11,20,23,7,22,24,8,9
50,3,6,2,1,5,4,26,27,28,29,17,15,30,31,16,0,13,18,32,19,21,37,35,38,10,25,14,12,34,33,36,11,23,22,20,24,9,7,8
51,29,28,27,3,31,26,30,0,13,6,2,32,37,35,5,4,15,38,1,17,18,16,19,33,21,36,34,14,25,11,12,10,22,24,23,20,8,7,9
52,27,26,29,28,30,3,2,1,37,35,31,6,5,38,4,15,34,16,19,33,36,17,18,10,0,13,21,12,25,32,11,14,20,7,23,24,22,9,8
53,27,29,28,26,30,3,31,2,37,35,6,1,5,4,38,15,17,16,0,13,33,18,19,34,36,32,10,21,12,25,11,14,22,20,24,9,23,7,8
54,32,6,0,13,3,2,17,4,5,15,16,18,29,26,28,1,21,31,19,14,27,30,25,37,38,35,10,22,12,11,23,36,33,34,20,8,7,24,9
55,6,3,2,4,5,0,13,26,1,29,28,32,17,27,15,16,31,30,18,19,21,37,38,35,14,25,10,34,12,33,36,11,22,23,20,7,24,8,9
56,2,6,3,4,5,15,16,1,26,28,29,19,18,17,27,21,13,0,30,31,38,37,14,32,35,25,10,34,12,36,33,11,20,7,23,22,24,8,9
57,3,6,27,26,1,2,29,28,5,4,30,31,17,15,37,35,16,0,13,18,19,38,32,21,10,33,34,36,25,12,14,11,23,9,24,22,20,8,7
58,29,27,3,28,26,30,31,6,2,37,5,1,35,4,38,0,13,32,15,17,18,16,19,33,36,34,21,10,12,25,14,11,22,9,24,23,8,20,7
59,3,29,27,28,26,6,2,30,31,5,1,4,0,13,37,35,32,15,17,38,16,18,19,21,33,36,34,25,10,14,12,11,22,23,24,9,20,8,7
60,2,6,26,3,28,29,15,16,1,4,19,5,27,18,21,30,31,17,37,13,38,0,35,14,25,10,34,36,32,33,12,11,20,7,23,22,24,8,9
61,29,28,31,27,30,32,0,13,26,3,37,35,6,2,38,15,5,4,17,18,1,33,16,36,34,19,21,14,25,11,22,12,10,24,8,9,23,7,20
62,3,6,1,2,5,26,27,4,28,29,30,31,17,15,16,19,37,35,18,38,0,13,21,10,32,25,34,33,12,36,14,11,23,20,22,24,9,7,8
63,3,6,1,26,27,2,5,4,28,29,30,31,17,15,16,37,35,19,18,0,13,38,32,21,10,34,33,25,36,12,14,11,23,9,24,22,20,8,7
64,27,29,30,28,26,37,31,35,3,38,2,6,1,5,4,33,36,34,15,0,13,17,18,16,19,32,10,12,21,11,25,14,24,22,9,20,8,7,23
65,3,6,2,1,5,26,4,27,28,29,30,17,15,31,16,0,13,18,19,32,37,21,35,38,10,25,14,34,33,36,12,11,23,22,20,24,7,9,8
66,2,29,28,3,26,6,15,27,4,1,16,5,30,19,31,18,37,21,17,13,0,38,35,14,25,32,10,34,36,33,12,11,20,7,23,22,24,8,9
67,29,27,28,26,3,30,31,2,6,37,35,1,5,4,38,15,0,13,17,16,18,32,19,33,34,36,21,10,12,25,14,11,22,24,20,23,9,7,8
68,3,6,27,26,2,1,29,28,5,4,30,31,37,35,17,15,38,16,0,13,19,18,32,21,10,34,33,36,25,12,14,11,23,22,20,9,24,7,8
69,3,6,27,2,26,29,5,28,4,1,30,31,32,0,13,17,15,35,37,16,18,38,19,21,10,33,25,14,34,36,12,11,22,9,23,24,8,20,7
