,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
39,5,2,3,13,0,6,32,4,1,12,9,16,7,19,22,33,30,26,20,8,29,28,18,27,11,37,10,35,17,14,36,34,38,15,31,24,25,23,21
40,3,2,5,6,13,0,32,1,4,9,10,12,7,16,11,37,28,22,26,19,30,18,29,33,24,8,20,17,25,27,36,31,21,23,35,14,38,34,15
41,3,2,5,6,13,0,1,32,4,9,12,10,16,7,11,37,28,22,26,19,30,18,29,17,24,33,20,27,25,8,36,21,31,23,35,14,38,34,15
42,5,3,2,6,13,0,32,4,1,12,9,16,19,7,30,22,33,29,28,11,26,18,20,27,37,8,10,17,36,35,31,38,15,14,34,25,24,23,21
43,5,13,2,0,3,32,6,1,4,9,7,22,12,33,8,16,26,19,20,30,28,29,18,10,27,11,37,35,14,17,24,25,34,36,31,38,15,23,21
44,13,0,5,3,2,32,6,1,4,9,7,22,8,26,33,10,20,12,19,16,28,24,30,18,29,37,25,11,14,27,17,35,34,31,36,38,23,15,21
45,3,2,6,5,13,0,1,32,9,4,10,12,11,37,16,7,28,26,22,30,18,19,29,24,17,21,25,33,20,36,27,8,23,31,35,14,38,34,15
46,3,5,2,6,13,0,32,4,1,12,9,16,7,19,11,28,30,37,10,22,29,26,18,33,27,20,17,36,8,35,31,24,25,21,38,14,15,23,34
47,3,5,2,6,13,0,32,4,1,9,12,16,7,11,19,10,28,37,22,30,26,18,29,33,20,27,17,8,36,35,24,31,25,14,21,23,38,15,34
48,3,6,2,5,13,0,4,1,9,12,32,10,11,16,37,28,7,30,26,18,19,21,22,29,17,36,27,24,23,31,25,20,33,8,35,14,38,15,34
49,3,6,2,5,13,0,9,1,10,4,12,11,37,32,16,28,7,21,26,18,24,22,30,23,17,25,29,36,19,31,27,20,33,8,35,14,38,15,34
50,3,5,2,13,6,0,32,1,4,9,12,16,7,10,22,19,11,28,26,37,30,33,18,29,20,8,27,17,36,24,35,25,31,14,23,38,21,34,15
51,3,5,2,13,0,6,32,1,4,9,12,7,16,22,19,26,10,33,28,30,11,8,37,20,29,18,27,17,24,35,36,25,14,31,34,38,23,15,21
52,5,2,3,13,0,32,6,4,1,12,9,16,7,19,22,33,30,26,20,8,29,18,28,27,11,37,35,10,17,14,36,34,38,15,24,31,25,23,21
53,3,5,2,6,13,0,32,4,1,12,9,16,7,19,11,22,28,30,26,10,37,33,29,18,20,27,8,17,36,35,31,24,25,14,38,15,34,23,21
54,3,13,5,0,2,6,32,1,9,4,10,7,22,12,26,28,37,8,16,11,24,33,20,19,30,25,18,29,17,27,14,35,31,36,23,34,21,38,15
55,3,5,2,13,0,6,32,1,4,9,7,12,22,16,26,10,33,19,8,28,20,30,11,37,18,29,27,24,17,25,35,14,36,31,34,38,23,15,21
56,3,2,5,6,13,0,4,32,1,9,12,16,10,11,7,37,28,19,30,26,22,18,29,27,17,33,20,36,21,31,8,24,25,35,23,14,38,15,34
57,3,6,2,5,13,9,10,0,1,4,12,11,37,16,32,28,21,7,23,18,26,17,30,24,36,29,25,22,31,19,27,20,33,35,8,14,38,15,34
58,5,2,13,0,3,32,6,1,4,9,7,12,22,33,19,16,8,26,20,30,29,18,28,27,35,11,14,10,34,37,17,24,38,25,36,15,31,23,21
59,5,2,3,6,13,0,32,4,1,12,9,16,19,7,30,33,22,29,28,18,11,20,26,27,37,8,17,36,10,35,38,15,31,14,34,25,24,23,21
60,3,13,0,2,5,6,32,1,9,10,4,7,22,37,26,12,28,11,24,16,8,25,33,18,20,30,19,17,29,23,27,31,14,36,35,21,34,38,15
61,3,6,2,5,13,9,4,12,0,1,10,11,37,16,32,28,21,7,18,30,29,17,36,19,26,23,31,22,27,24,25,20,33,35,8,14,38,15,34
62,3,5,2,6,13,0,32,1,4,9,12,16,10,11,7,37,28,19,22,26,30,18,29,33,17,27,20,36,8,24,31,21,25,35,23,14,38,15,34
63,3,2,5,6,13,0,1,4,32,9,12,10,16,11,37,7,28,26,22,30,19,18,29,17,21,27,36,24,33,20,25,31,23,8,35,14,38,15,34
64,3,2,6,5,13,0,1,32,9,4,10,12,11,37,16,7,28,26,22,30,18,19,29,24,17,21,25,33,20,36,27,8,31,23,35,14,38,15,34
65,3,5,2,6,13,0,32,4,1,9,12,16,10,11,7,37,28,19,30,22,26,18,29,33,27,20,17,36,8,24,31,25,21,35,23,14,38,15,34
66,3,13,2,5,0,6,32,1,9,4,10,7,12,22,26,37,28,16,11,8,24,33,19,30,18,20,25,29,17,27,36,31,14,35,23,21,34,38,15
67,3,2,5,6,13,0,4,1,32,9,12,16,10,11,37,7,28,19,30,26,22,18,29,17,27,33,20,36,21,31,24,8,25,23,35,14,38,15,34
68,5,2,3,13,0,6,32,4,1,12,9,16,7,19,22,33,30,26,20,28,29,18,8,11,27,37,10,17,35,36,14,31,24,38,25,34,15,23,21
69,3,5,2,6,13,0,32,4,1,12,9,16,7,19,11,30,28,22,37,29,26,18,10,33,20,27,17,8,36,35,31,24,25,38,14,15,21,23,34
70,13,5,0,2,3,32,6,1,4,9,7,22,8,33,12,26,19,20,16,30,28,29,10,18,27,14,11,24,37,35,17,34,25,36,38,31,15,23,21
71,3,5,2,6,13,0,32,4,1,12,9,16,7,19,11,28,30,22,37,26,10,29,33,18,20,27,8,17,36,35,31,24,25,14,38,15,21,23,34
72,5,3,13,2,0,6,32,1,4,9,7,12,22,16,26,33,8,19,10,20,28,30,11,18,29,37,27,24,17,25,35,14,36,31,34,38,15,23,21
73,3,2,5,6,13,0,32,1,4,9,12,10,7,16,11,37,28,22,26,19,30,18,29,33,20,24,17,8,25,27,36,31,21,23,35,14,38,34,15
74,3,2,5,6,13,0,4,1,12,32,9,16,11,37,10,28,7,19,30,18,29,26,22,27,17,36,21,20,33,31,23,35,24,25,8,38,15,14,34
75,3,5,2,6,13,0,32,4,1,12,9,16,7,19,22,11,28,30,26,10,37,33,29,18,20,27,8,17,36,35,31,24,25,14,38,15,34,23,21
76,6,3,10,9,21,2,37,11,5,12,1,28,13,23,4,16,0,24,25,7,17,36,31,18,26,30,29,32,22,27,19,20,35,14,33,8,38,15,34
77,5,3,2,13,0,6,32,1,4,9,12,7,16,22,19,26,33,30,28,10,20,11,8,29,18,37,27,17,35,36,24,14,25,31,34,38,15,23,21
78,3,6,2,5,13,9,4,12,0,1,10,11,37,16,32,28,21,7,18,30,17,26,36,29,23,19,31,22,24,27,25,20,33,35,8,14,38,15,34
79,5,2,13,3,0,32,6,1,4,9,7,12,22,33,19,16,8,20,26,30,29,18,27,28,35,11,14,34,17,37,10,38,24,36,15,25,31,23,21
80,3,5,2,6,13,0,4,32,1,12,9,16,19,11,7,30,28,37,29,18,22,27,26,10,33,20,17,36,8,35,31,38,15,21,14,25,24,23,34
