,epoch,train_loss,valid_loss,time
0,0,1.989035964012146,2.0814425945281982,00:00
1,1,1.8012142181396484,2.024371385574341,00:00
2,2,1.553794503211975,1.701535701751709,00:00
3,3,1.1753332614898682,1.236724853515625,00:00
4,4,0.8855130076408386,0.8969038724899292,00:00
5,5,0.679923951625824,0.6441980600357056,00:00
6,6,0.4408404231071472,0.4469973146915436,00:00
7,7,0.3567686080932617,0.3148321807384491,00:00
8,8,0.2059950232505798,0.2411658465862274,00:00
9,9,0.1788052320480346,0.1848607659339904,00:00
10,10,0.1531801074743271,0.1476210355758667,00:00
11,11,0.0711119696497917,0.1275808066129684,00:00
12,12,0.1015692874789238,0.1084286868572235,00:00
13,13,0.0627212598919868,0.0979542583227157,00:00
14,14,0.0687821581959724,0.0889844670891761,00:00
15,15,0.040421687066555,0.0850039646029472,00:00
16,16,0.0639303103089332,0.0813060402870178,00:00
17,17,0.0432082824409008,0.0797943398356437,00:00
18,18,0.0889447927474975,0.0792996436357498,00:00
19,19,0.0611000806093215,0.0792639553546905,00:00
