,epoch,train_loss,valid_loss,time
0,0,0.025434685871005,0.0268540736287832,00:00
1,1,0.0187871754169464,0.0192253701388835,00:00
2,2,0.0071366340853273,0.0067326808348298,00:00
3,3,0.0035772691480815,0.0040549407713115,00:00
4,4,0.0033858364913612,0.0037794704549014,00:00
5,5,0.0031925793737173,0.0037849524524062,00:00
6,6,0.0034881313331425,0.0035554456990212,00:00
7,7,0.0037439656443893,0.0035612364299595,00:00
8,8,0.003238895907998,0.0036122994497418,00:00
9,9,0.0033061886206269,0.0035557828377932,00:00
10,10,0.0035042210947722,0.0036626220680773,00:00
11,11,0.0029797491151839,0.0036311210133135,00:00
12,12,0.0029345359653234,0.00360205816105,00:00
13,13,0.0030844237189739,0.0035785760264843,00:00
14,14,0.0030303243547677,0.0035635223612189,00:00
15,15,0.0028095096349716,0.0035620636772364,00:00
16,16,0.0027900917921215,0.0035629177000373,00:00
17,17,0.0026080806273967,0.003558350726962,00:00
18,18,0.0027600598987191,0.0035556918010115,00:00
19,19,0.0027318245265632,0.0035569975152611,00:00
