,epoch,train_loss,valid_loss,time
0,0,0.0238366518169641,0.0268770176917314,00:00
1,1,0.0198654793202877,0.0207952037453651,00:00
2,2,0.0100584449246525,0.0101316105574369,00:00
3,3,0.0044249081984162,0.0050396523438394,00:00
4,4,0.0038063088431954,0.0040234900079667,00:00
5,5,0.0031392471864819,0.0037976540625095,00:00
6,6,0.0035391382407397,0.0037421502638608,00:00
7,7,0.003338924376294,0.0036115949042141,00:00
8,8,0.0032829644624143,0.0035966013092547,00:00
9,9,0.0030371453613042,0.0035493725445121,00:00
10,10,0.0032097727525979,0.0035943677648901,00:00
11,11,0.00302345585078,0.0036044507287442,00:00
12,12,0.0031569034326821,0.0036054798401892,00:00
13,13,0.0030770597513765,0.0035805569496005,00:00
14,14,0.0029852609150111,0.0035808158572763,00:00
15,15,0.0027535033877938,0.0035635961685329,00:00
16,16,0.0032188824843615,0.0035724455956369,00:00
17,17,0.0027276626788079,0.0035701994784176,00:00
18,18,0.0030546707566827,0.0035687314812093,00:00
19,19,0.0028911135159432,0.0035675878170877,00:00
