,epoch,train_loss,valid_loss,time
0,0,0.1061451584100723,0.1146962121129036,00:00
1,1,0.0908633768558502,0.0975223183631897,00:00
2,2,0.0664910674095153,0.067025139927864,00:00
3,3,0.0482058934867382,0.0488346107304096,00:00
4,4,0.0358336120843887,0.0418143346905708,00:00
5,5,0.0346592515707016,0.0394316352903842,00:01
6,6,0.0329165682196617,0.0381063520908355,00:00
7,7,0.0344887971878051,0.0372495986521244,00:00
8,8,0.0324586294591426,0.0366293303668499,00:00
9,9,0.0303165968507528,0.0356166362762451,00:00
10,10,0.027641225606203,0.0350111983716487,00:01
11,11,0.0282785166054964,0.0343388468027114,00:01
12,12,0.0284754522144794,0.0338382422924041,00:01
13,13,0.0249770320951938,0.0335913524031639,00:01
14,14,0.027040559798479,0.0333553776144981,00:00
15,15,0.0255247633904218,0.0332362279295921,00:00
16,16,0.0265323966741561,0.0331276468932628,00:00
17,17,0.024564741179347,0.0331077761948108,00:00
18,18,0.0263079293072223,0.0330710671842098,00:01
19,19,0.023971127346158,0.033072579652071,00:00
