,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
39,3,15,2,19,8,36,22,5,14,29,27,20,1,28,10,30,23,35,6,17,26,7,4,33,0,9,37,16,25,34,18,21,11,31,12,38,24,13,32
40,3,2,15,19,8,36,22,5,29,14,27,20,28,1,10,23,30,35,7,6,4,26,37,9,33,17,34,16,11,18,25,21,31,12,38,24,0,13,32
41,3,15,2,19,8,22,36,5,14,29,27,20,28,1,30,10,23,35,6,17,26,0,7,33,4,37,9,25,34,18,16,21,31,11,12,38,24,13,32
42,32,13,0,15,17,30,25,3,6,14,33,31,21,18,23,38,10,1,19,2,35,26,24,28,29,22,5,16,9,34,37,27,36,8,4,12,11,7,20
43,0,15,13,3,32,2,19,17,14,30,22,29,5,8,6,36,1,10,23,33,28,27,35,25,26,21,18,20,31,9,4,37,7,16,34,38,11,24,12
44,15,3,2,19,0,14,8,5,22,36,29,30,27,1,10,17,28,23,6,20,35,33,26,4,7,9,25,37,18,21,16,34,31,11,13,38,12,24,32
45,32,13,0,15,17,30,3,25,6,14,33,31,21,19,2,23,10,18,1,38,29,35,26,22,28,5,24,27,8,9,36,16,37,34,4,12,7,20,11
46,3,15,2,19,8,36,5,22,29,14,27,20,28,1,10,30,23,35,6,7,26,4,17,33,37,9,16,34,18,25,11,21,31,0,12,38,24,13,32
47,0,15,3,13,2,19,14,17,32,30,5,22,29,36,8,1,23,6,10,28,27,33,35,25,26,20,18,21,9,4,31,37,7,16,34,38,11,12,24
48,32,0,13,15,17,3,30,14,25,6,2,19,33,23,10,21,1,31,18,29,22,35,28,5,26,38,36,8,27,24,9,16,37,34,4,20,7,11,12
49,15,0,3,2,19,14,22,5,36,17,30,29,8,13,1,10,23,28,27,6,35,33,20,26,25,18,9,32,7,21,4,37,31,16,34,11,38,12,24
50,0,13,32,15,3,17,2,30,14,19,22,6,29,5,23,10,1,25,33,36,8,28,35,21,26,18,27,31,9,20,37,16,38,4,34,7,24,11,12
51,32,13,0,15,17,30,25,6,3,31,33,21,14,18,38,23,10,1,24,19,2,35,26,29,28,22,5,16,9,34,37,27,36,12,8,4,11,7,20
